PÁ;Lado;Area;Posição;Ra;Rz;Rq
1;2;3;6;0.6;1.87;0.75
1;2;3;7;0.14;0.61;0.18
1;2;3;8;3.43;18.16;5.05
2;1;1;1;0.83;5.02;1.06
2;1;1;2;3.88;19.59;4.79
2;1;1;3;0.82;4.16;1
2;1;1;4;1.59;9.16;2.02
2;1;1;5;1.02;5.7;1.29
2;1;1;6;1.31;6.63;1.62
2;1;1;7;3.63;23.58;5.01
2;1;1;8;1.37;8.04;1.78
2;1;2;1;1.2;8;1.56
2;1;2;2;1.16;7.06;1.56
2;1;2;3;1.49;7.01;1.79
2;1;2;4;1.26;6.72;1.57
2;1;2;5;7.38;39.51;9.79
2;1;2;6;3.61;20.37;4.54
2;1;2;7;8.42;41.07;10.76
2;1;2;8;1.06;5.32;1.29
2;1;3;1;3.87;21.59;4.94
2;1;3;2;1.19;6.51;1.49
2;1;3;3;3.05;14.42;3.7
2;1;3;4;1;6.11;1.26
2;1;3;5;1.47;8.46;1.99
2;1;3;6;2.63;22.81;3.95
2;1;3;7;1.13;5.57;1.39
2;1;3;8;1.53;7.59;1.96
2;2;1;1;0.75;4.53;0.92
2;2;1;2;0.79;5.14;1.01
2;2;1;3;0.6;3.78;0.75
2;2;1;4;0.8;5.13;1.01
2;2;1;5;1.03;5.71;1.31
2;2;1;6;0.94;4.99;1.16
2;2;1;7;5.7;27.94;7.07
2;2;1;8;7.09;34.44;8.95
2;2;2;1;0.99;5.99;1.28
2;2;2;2;0.84;5.54;1.05
2;2;2;3;4.33;28.22;5.94
2;2;2;4;0.88;5.47;1.15
2;2;2;5;0.59;3.87;0.75
2;2;2;6;1.01;6.2;1.26
2;2;2;7;0.6;3.57;0.74
2;2;2;8;0.49;2.9;0.61
2;2;3;1;0.8;4.56;0.98
2;2;3;2;0.81;4.82;1.05
2;2;3;3;0.72;3.26;0.84
2;2;3;4;0.56;2.67;0.67
2;2;3;5;1.06;6.16;1.34
2;2;3;6;0.61;3.78;0.76
2;2;3;7;1.47;7.2;1.86
2;2;3;8;0.78;3.92;0.94
